rank,channel,electrode_name,roi,roi_mapping_source,occ_score,occ_ci_lo,occ_ci_hi,occ_p_value,occ_fdr_p_value,occ_fdr_significant,occ_ci_significant,perm_score,perm_ci_lo,perm_ci_hi,perm_p_value,perm_fdr_p_value,perm_fdr_significant,perm_ci_significant,ig_rank,ig_importance,contribution_type,subject_stability,robust_significant,combined_score
11,41,FC3,Fronto-Central,montage_file,0.000690428364424058,0.0004410341970714523,0.0009467541799869065,0.0001999600079984003,0.0006094019291379819,True,True,0.001112836628784368,0.0007610421030793661,0.0014872414060396913,0.0001999600079984003,0.0006094019291379819,True,True,11,0.0015694607282057405,facilitatory,11/18,True,0.7615243292515708
12,50,CPz,Centro-Parietal,montage_file,0.0005173986046402543,0.0002119809948367837,0.0008409301929267834,0.002599480103979204,0.005736783677747209,True,True,0.001309810111552109,0.0008400171492938644,0.0017743259602122825,0.0001999600079984003,0.0006094019291379819,True,True,5,0.002228901721537113,facilitatory,9/18,True,0.676976959304358
13,54,P1,Parietal,montage_file,0.0006270686233485187,0.00042182552888069626,0.0008353413596381375,0.0001999600079984003,0.0006094019291379819,True,True,0.0007555734117825826,0.00044358116305536697,0.0010545141648179216,0.0001999600079984003,0.0006094019291379819,True,True,20,0.0012075550621375442,facilitatory,14/18,True,0.4497718973425947
14,44,C5,Central,montage_file,0.0005821571857840927,0.00044771731966807525,0.0007285869486721944,0.0001999600079984003,0.0006094019291379819,True,True,0.0007143315304944545,0.0005196151820781791,0.0009139120355248451,0.0001999600079984003,0.0006094019291379819,True,True,33,0.0007807455258443952,facilitatory,10/18,True,0.36742422771367733
15,21,TP10,Temporal,montage_file,0.00054950565835576,0.0003440173759504601,0.0007543357638297257,0.0001999600079984003,0.0006094019291379819,True,True,0.0006503740946451823,0.0003682195802713618,0.0009400078541150796,0.0001999600079984003,0.0006094019291379819,True,True,45,0.0006940880557522178,facilitatory,13/18,True,0.28533921742063767
16,49,CP3,Centro-Parietal,montage_file,0.00041251755055086113,0.0001922115791175102,0.0006358629274699423,0.0001999600079984003,0.0006094019291379819,True,True,0.0008246753171638206,0.0005113633562017372,0.0011597265033626261,0.0001999600079984003,0.0006094019291379819,True,True,15,0.0014152898220345378,facilitatory,12/18,True,0.23040698194557774
17,23,P3,Parietal,montage_file,0.0002854699963404809,-0.0001093033337850629,0.0006809935762926381,0.14357128574285144,0.18016788799102926,False,False,0.0009516072346840375,0.00038286277973725494,0.0014827333563639789,0.0009998000399920016,0.002369896391092152,True,True,7,0.0020343950018286705,facilitatory,10/18,True,0.15675559550614035
18,6,F8,Frontal,montage_file,0.00037679747298911766,0.00021732539223668019,0.0005461711382240425,0.0003999200159968006,0.0010664533759914684,True,True,0.0006211170112645184,0.0003807843559318119,0.0008621133115188573,0.0001999600079984003,0.0006094019291379819,True,True,17,0.0012590581318363547,facilitatory,11/18,True,0.053248565499164
19,5,F4,Frontal,montage_file,0.0002996262208915051,0.00014424897656764511,0.0004592710951412163,0.0001999600079984003,0.0006094019291379819,True,True,0.0006795620256000095,0.0004246640297365778,0.0009170669307127408,0.0001999600079984003,0.0006094019291379819,True,True,23,0.0011136471293866634,facilitatory,11/18,True,-0.00368856151173369
20,52,TP8,Temporal,montage_file,-0.0001584989273989642,-0.0004478164634402886,0.00015011862389467342,0.28934213157368527,0.35611339270607417,False,False,0.0008784386920340267,0.0004683324394770612,0.0012931122629914753,0.0001999600079984003,0.0006094019291379819,True,True,4,0.0023471913300454617,mixed,10/18,False,-0.04765392301707583
